"filename", "language", "XML", "C#", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Matching.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Message.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Notification.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Transaction.cs", "C#", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\User.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\DtoProperty.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Entities\ConversationDto.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Entities\FileDto.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ReadDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\CurrencyDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\DatingPreferences.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\Distance.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\FileDetailsDto.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\LocationDto.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\MoneyDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Variants\Aggregates\JudgementVariant.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
