"filename", "language", "C#", "MS SQL", "JSON", "Python", "XML", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\SameUserFact.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\UserAuthorizationFactStore.cs", "C#", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 99
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\JudgementAuthorizationService.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 11, 97
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MatchingAuthorizationService.cs", "C#", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 10, 124
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MessageAuthorizationService.cs", "C#", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 108
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\SearchProfileAuthorizationService.cs", "C#", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 94
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\UserAuthorizationService.cs", "C#", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 148
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\RefreshHandler.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\SignInHandler.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\SignOutHandler.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\RefreshCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\SignInCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\SignOutCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Judgements\Handlers\JudgeHandler.cs", "C#", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 153
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Judgements\JudgeCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Matching\Handlers\UnmatchHandler.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Matching\UnmatchCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\CreateMessageCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\DeleteMessageCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\EditMessageCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\CreateMessageHandler.cs", "C#", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\DeleteMessageHandler.cs", "C#", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\EditMessageHandler.cs", "C#", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 86
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\MarkMessagesAsSeenHandler.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\MarkMessagesAsSeenCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Notifications\DeleteCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Notifications\Handlers\DeleteHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Notifications\Handlers\MarkAsReadHandler.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Notifications\MarkAsReadCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\CreateSearchProfileCommand.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\CreateSearchProfileHandler.cs", "C#", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 113
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\UpdateSearchProfileHandler.cs", "C#", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 136
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\UpdateSearchProfileCommand.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\TransactionalCommandHandler.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\DeleteCommand.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\GenerateCandidatesCommand.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\DeleteHandler.cs", "C#", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\GenerateCandidatesHandler.cs", "C#", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 97
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\RegisterHandler.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\UpdateHandler.cs", "C#", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 133
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\RegisterCommand.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\UpdateCommand.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Account.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Blocking.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Contact.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
