"filename", "language", "MS SQL", "JSON", "Python", "C#", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Geography\GetAdminAreaQuery.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Geography\Handlers\GetAdminAreaByIdHandler.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Geography\Handlers\GetAdminAreaHandler.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Geography\Handlers\GetCountryAdminAreaHandler.cs", "C#", 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Geography\Handlers\ReverseGeocodeHandler.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Geography\ReverseGeocodeQuery.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Judgements\Handlers\GetPositiveJudgementsHandler.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, -1, 13
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Matchings\Handlers\GetMatchingByIdHandler.cs", "C#", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 33
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Matchings\Handlers\GetMatchingsHandler.cs", "C#", 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Messages\Handlers\GetMessageByIdHandler.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Messages\Handlers\GetMessagesByMatchingIdHandler.cs", "C#", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\SearchProfiles\GetAllSearchProfilesQuery.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\SearchProfiles\GetSearchProfileQuery.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\SearchProfiles\Handlers\GetAllSearchProfilesQuery.cs", "C#", 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\SearchProfiles\Handlers\GetSearchProfileHandler.cs", "C#", 0, 0, 0, 64, 0, 0, 0, 0, 0, 7, 71
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Users\GetHasSearchProfileQuery.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Users\GetMeQuery.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Users\Handlers\GetHasSearchProfileHandler.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Users\Handlers\GetMeHandler.cs", "C#", 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Queries\Users\Handlers\GetUserByIdHandler.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, -1, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\Aggregate.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\Candidates\Candidate.cs", "C#", 0, 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\Judgements\Judgement.cs", "C#", 0, 0, 0, -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\Matchings\Matching.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\SearchProfiles\SearchProfile.cs", "C#", 0, 0, 0, 203, 0, 0, 0, 0, 0, 33, 236
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\Users\Events\UserFileRemovedEvent.cs", "C#", 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\Users\Events\UserImageRemovedEvent.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Aggregates\Users\User.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 2, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Embe.C2C.Domain.csproj", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Entities\Entity.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Entities\SearchProfiles\SearchProfileGender.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\Services\JudgementService.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\DatingPreferences.cs", "C#", 0, 0, 0, -40, 0, 0, 0, 0, 0, -7, -47
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\Engagements\Engagement.cs", "C#", 0, 0, 0, 54, 0, 0, 0, 0, 0, 9, 63
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\Engagements\Enums\EngagementBoundedness.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\Engagements\Enums\EngagementFrequency.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\Engagements\Enums\EngagementMedium.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\Engagements\Enums\FixedTermEngagementDomainError.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\Location.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Domain\ValueObjects\RelationshipType.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\AdminAreaConfiguration.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\CandidateConfiguration.cs", "C#", 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\CandidateEntityConfiguration.cs", "C#", 0, 0, 0, -20, 0, 0, 0, 0, 0, -4, -24
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\JudgementConfiguration.cs", "C#", 0, 0, 0, -4, 0, 0, 0, 0, 0, -1, -5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\MatchingConfiguration.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\SearchProfileConfiguration.cs", "C#", 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 55
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\UserConfiguration.cs", "C#", 0, 0, 0, -31, 0, 0, 0, 0, 0, -4, -35
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Contexts\C2CContext.cs", "C#", 0, 0, 0, 96, 0, 0, 0, 0, -10, 2, 88
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Entities\AdminArea.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 10, 34
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Entities\Candidate.cs", "C#", 0, 0, 0, -8, 0, 0, 0, 0, 0, -3, -11
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260609222237_InitialCreate.Designer.cs", "C#", 0, 0, 0, -603, 0, 0, 0, 0, -2, -206, -811
